GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),BACGROUP (CODE),BACGROUP (DISPLAY),BACGROUP (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001520,2016,2016,,WPR,Western Pacific,,VUT,Vanuatu,,SA_GENERAL_POPULATION,General population,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,KHM,Cambodia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,COG,Congo,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,SLV,El Salvador,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,HND,Honduras,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.07%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,JAM,Jamaica,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,PER,Peru,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,KNA,Saint Kitts and Nevis,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CIV,Côte d'Ivoire,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GAB,Gabon,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GMB,Gambia,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,LSO,Lesotho,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,LSO,Lesotho,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MRT,Mauritania,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,LBN,Lebanon,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,QAT,Qatar,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,.,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,,SA_GENERAL_POPULATION,General population,,total ban,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AUT,Austria,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.01%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AZE,Azerbaijan,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,HRV,Croatia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,CYP,Cyprus,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,FIN,Finland,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,FRA,France,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,FRA,France,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ISL,Iceland,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ISL,Iceland,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,KGZ,Kyrgyzstan,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,LVA,Latvia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MNE,Montenegro,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,NLD,Netherlands,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ROU,Romania,,SA_GENERAL_POPULATION,General population,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ROU,Romania,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MUS,Mauritius,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ESP,Spain,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,TUR,Türkiye,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,TKM,Turkmenistan,,SA_GENERAL_POPULATION,General population,,0.03%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,DZA,Algeria,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,AGO,Angola,,SA_GENERAL_POPULATION,General population,,0.06%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,AGO,Angola,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.06%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CPV,Cabo Verde,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,MMR,Myanmar,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,AUS,Australia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,BRN,Brunei Darussalam,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,JPN,Japan,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,KIR,Kiribati,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CPV,Cabo Verde,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,TTO,Trinidad and Tobago,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,USA,United States of America,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,PHL,Philippines,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,USA,United States of America,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.04%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,DJI,Djibouti,,SA_GENERAL_POPULATION,General population,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,DJI,Djibouti,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,KWT,Kuwait,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,SVN,Slovenia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,BGD,Bangladesh,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,RWA,Rwanda,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,STP,Sao Tome and Principe,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZAF,South Africa,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,SSD,South Sudan,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,SSD,South Sudan,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZMB,Zambia,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZMB,Zambia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BRB,Barbados,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BLZ,Belize,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,COL,Colombia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,CRI,Costa Rica,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,SLV,El Salvador,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,MMR,Myanmar,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,PNG,Papua New Guinea,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,TON,Tonga,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,TUV,Tuvalu,,SA_GENERAL_POPULATION,General population,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,MNG,Mongolia,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,MNG,Mongolia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,DOM,Dominican Republic,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GAB,Gabon,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,JAM,Jamaica,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,PER,Peru,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,PER,Peru,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GMB,Gambia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,KEN,Kenya,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,LSO,Lesotho,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MRT,Mauritania,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MUS,Mauritius,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,DZA,Algeria,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,AGO,Angola,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.06%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CPV,Cabo Verde,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CMR,Cameroon,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CIV,Côte d'Ivoire,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CIV,Côte d'Ivoire,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,TTO,Trinidad and Tobago,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,DJI,Djibouti,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,EGY,Egypt,,SA_GENERAL_POPULATION,General population,,none,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,LBN,Lebanon,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,LBN,Lebanon,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,RWA,Rwanda,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,LVA,Latvia,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,LVA,Latvia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,RWA,Rwanda,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZAF,South Africa,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MDA,Republic of Moldova,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ROU,Romania,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,SSD,South Sudan,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZMB,Zambia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,TUR,Türkiye,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,TUR,Türkiye,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,ZWE,Zimbabwe,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BLZ,Belize,,SA_GENERAL_POPULATION,General population,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,BLZ,Belize,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,NPL,Nepal,,SA_GENERAL_POPULATION,General population,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,BRN,Brunei Darussalam,,SA_GENERAL_POPULATION,General population,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,BRN,Brunei Darussalam,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,JPN,Japan,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,KIR,Kiribati,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,COL,Colombia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,CRI,Costa Rica,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,ECU,Ecuador,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.01%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,PHL,Philippines,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,SLV,El Salvador,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,HND,Honduras,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.07%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,QAT,Qatar,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,HRV,Croatia,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,HRV,Croatia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,FIN,Finland,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,FRA,France,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ISL,Iceland,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,IRL,Ireland,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MNE,Montenegro,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,NLD,Netherlands,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,SVN,Slovenia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,ESP,Spain,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,BGD,Bangladesh,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,SEAR,South-East Asia,,MMR,Myanmar,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,FSM,Micronesia (Federated States of),,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,MNG,Mongolia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,PNG,Papua New Guinea,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,.,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,TON,Tonga,,SA_GENERAL_POPULATION,General population,,0.03%,,,,,,
SA_0000001520,2016,2016,,WPR,Western Pacific,,TON,Tonga,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,TUN,Tunisia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AUT,Austria,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.01%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,AZE,Azerbaijan,,SA_GENERAL_POPULATION,General population,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,USA,United States of America,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,sub-national,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,DOM,Dominican Republic,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
